特徴量,係数
所在地(実習先)(都道府県)_滋賀県,0.23893707791354152
組合_JOP協同組合,0.23670886831793325
職種関係_建設関係,0.21752366422720115
職種_紙器・段ボール箱製造,0.21685854759166268
所在地(実習先)(都道府県)_栃木県,0.2163627152721732
職種_婦人子供服製造,0.21569864161154784
職種関係_繊維・衣服関係,0.21569864161154784
所在地(実習先)(都道府県)_宮城県,0.20495133074920702
所在地(実習先)(市区町村)_福井市,0.20114757420676654
所在地(実習先)(都道府県)_福井県,0.20114757420676654
所属機関_SMART SPACE CONSTRUCTION COMPANY LIMITED,0.20114757420676654
職種_鉄筋施工,0.1994709625491322
職種関係_食品製造関係,0.17768982099790165
所在地(実習先)(都道府県)_茨城県,0.1533780172502115
組合_宮城県農水産サービス振興協同組合,0.11174951340677453
所在地(実習先)(市区町村)_福岡市,0.09632996782475245
職種_工業包装,0.09535739343216676
入国時年齢,0.09101832866796586
"派遣会社_TOP COMET CO.,LTD",0.08939868040342525
職種_耕種農業,0.05572872618477698
職種関係_農業・林業関係,0.05197709457278843
組合_ウエストワード協同組合,0.008858503504860948
所在地(実習先)(市区町村)_敦賀市,0.0
組合_日本ケアワーカー協同組合,0.0
所在地(実習先)(市区町村)_新冠町,0.0
所在地(実習先)(市区町村)_新潟市,0.0
組合_協同組合アシスト,0.0
所在地(実習先)(市区町村)_日置市,0.0
組合_事業協同組合ヒューマンサポート,0.0
所在地(実習先)(市区町村)_肝属郡肝付町,0.0
所在地(実習先)(市区町村)_春日部市,0.0
所在地(実習先)(市区町村)_摂津市,0.0
所在地(実習先)(市区町村)_有田郡,0.0
組合_アジア開発事業協同組合,0.0
学校所属_日本語の森,0.0
所在地(実習先)(市区町村)_東大阪市,0.0
学校所属_メイ学校,0.0
所在地(実習先)(市区町村)_東広島市,0.0
組合_一般財団法人 国際クラブ,0.0
所在地(実習先)(市区町村)_愛知郡東郷町,0.0
学校所属_ネピドー学校 ,0.0
所属機関_FIRST MEGA GROUP COMPANY LIMITED,0.0
所在地(実習先)(市区町村)_小樽市,0.0
"所属機関_TANGAR THAR SEAFOOD CO.,LTD",0.0
所在地(実習先)(市区町村)_尾道市,0.0
所在地(実習先)(市区町村)_山口市,0.0
所在地(実習先)(市区町村)_岩国市,0.0
所在地(実習先)(市区町村)_岩沼市,0.0
所在地(実習先)(市区町村)_川崎市,0.0
所在地(実習先)(市区町村)_帯広市,0.0
所在地(実習先)(市区町村)_志布志市,0.0
所在地(実習先)(市区町村)_平塚市,0.0
所属機関_EUROGATE SPORTS WEAR LTD,0.0
所在地(実習先)(市区町村)_幸手市,0.0
所在地(実習先)(市区町村)_庄原市,0.0
所在地(実習先)(市区町村)_彦根市,0.0
所在地(実習先)(市区町村)_徳島市,0.0
組合_福岡県生産流通協同組合,0.0
所在地(実習先)(市区町村)_東郷町,0.0
所在地(実習先)(市区町村)_桐生市,0.0
所在地(実習先)(市区町村)_柏崎市,0.0
所在地(実習先)(市区町村)_西海市,0.0
所在地(実習先)(市区町村)_鴻巣市,0.0
所在地(実習先)(市区町村)_高石市,0.0
所在地(実習先)(市区町村)_青森市,0.0
所在地(実習先)(市区町村)_雲南市,0.0
所在地(実習先)(市区町村)_長門市,0.0
所在地(実習先)(市区町村)_那須塩原市,0.0
所在地(実習先)(市区町村)_福島市,0.0
所在地(実習先)(市区町村)_秩父市,0.0
"派遣会社_JUMP MYANMAR JAPAN CO.,LTD",0.0
所在地(実習先)(市区町村)_薩摩郡さつま町,0.0
所在地(実習先)(市区町村)_葛飾区,0.0
所在地(実習先)(市区町村)_糟屋郡,0.0
所在地(実習先)(市区町村)_菊池市,0.0
所在地(実習先)(市区町村)_紀の川市,0.0
所在地(実習先)(市区町村)_荒川区,0.0
所在地(実習先)(市区町村)_茂原市,0.0
所在地(実習先)(市区町村)_鹿嶋市,0.0
所在地(実習先)(市区町村)_玉名市,0.0
所在地(実習先)(市区町村)_羽曳野市,0.0
所在地(実習先)(市区町村)_泉佐野市,0.0
所在地(実習先)(市区町村)_樺戸郡浦臼町,0.0
学校所属_もしもし学校,0.0
学校所属_TOP COMET,0.0
所在地(実習先)(市区町村)_比企郡嵐山町,0.0
所在地(実習先)(市区町村)_水戸市,0.0
所在地(実習先)(市区町村)_江戸川区,0.0
所在地(実習先)(市区町村)_江東区,0.0
学校所属_SKY TREE,0.0
所在地(実習先)(市区町村)_熊谷市,0.0
学校所属_IG日本語学校,0.0
所在地(実習先)(市区町村)_浜松市,0.0
所在地(実習先)(市区町村)_淀川区,0.0
学校所属_DT日本語学校,0.0
所在地(実習先)(市区町村)_清瀬市,0.0
所在地(実習先)(市区町村)_清須市,0.0
所在地(実習先)(市区町村)_港区,0.0
所在地(実習先)(市区町村)_小松市,0.0
所在地(実習先)(市区町村)_延岡市,0.0
"所属機関_YON MIN PRODUCTION CO.,LTD",0.0
所在地(実習先)(市区町村)_八尾市,0.0
所在地(実習先)(市区町村)_土浦市,0.0
所在地(実習先)(市区町村)_四街道市,0.0
所在地(実習先)(市区町村)_呉市,0.0
所在地(実習先)(市区町村)_名張市,0.0
職種_機械加工,0.0
所在地(実習先)(市区町村)_台東区,0.0
職種_洗濯業,0.0
職種_牛豚食肉処理加工業,0.0
職種_空港グランドハンドリング,0.0
所在地(実習先)(市区町村)_南三陸町,0.0
所在地(実習先)(市区町村)_南さつま市,0.0
所在地(実習先)(市区町村)_北葛城郡河合町,0.0
職種_金属プレス加工,0.0
職種_電子機器組立て,0.0
職種_座席シート縫製,0.0
所在地(実習先)(市区町村)_児玉郡神川町,0.0
所在地(実習先)(市区町村)_佐倉市,0.0
所在地(実習先)(市区町村)_京都郡,0.0
所在地(実習先)(市区町村)_串間市,0.0
所在地(実習先)(市区町村)_下関市,0.0
所在地(実習先)(都道府県)_和歌山県,0.0
所在地(実習先)(市区町村)_上川郡東神楽町,0.0
所在地(実習先)(都道府県)_島根県,0.0
所在地(実習先)(市区町村)_上川郡東川町,0.0
所在地(実習先)(市区町村)_三木市,0.0
所在地(実習先)(都道府県)_徳島県,0.0
所在地(実習先)(都道府県)_静岡県,0.0
所在地(実習先)(都道府県)_熊本県,0.0
所在地(実習先)(市区町村)_堺市,0.0
所在地(実習先)(都道府県)_石川県,0.0
職種_内装仕上げ施工,0.0
職種_布はく縫製,0.0
所在地(実習先)(市区町村)_姶良市,0.0
所在地(実習先)(市区町村)_大網白里市,0.0
所在地(実習先)(市区町村)_奄美市,0.0
所在地(実習先)(市区町村)_宮崎市,0.0
所在地(実習先)(市区町村)_宇都宮市,0.0
所在地(実習先)(市区町村)_大田区,0.0
所在地(実習先)(市区町村)_安中市,0.0
所在地(実習先)(市区町村)_奈良市,0.0
職種_サッシ施工,0.0
所在地(実習先)(市区町村)_大島郡喜界町,0.0
所在地(実習先)(市区町村)_大和市,0.0
職種関係_社内検定型,0.0
所在地(実習先)(市区町村)_甲賀市,-0.0003536700747835989
職種関係_特定技能,-0.0003536700747835989
"組合_株式会社Belldan
(アジアアグリ)",-0.0003536700747835989
職種_農業(特定技能),-0.0003536700747835989
所在地(実習先)(市区町村)_米子市,-0.0021776709936798906
所在地(実習先)(都道府県)_鳥取県,-0.0021776709936798906
所在地(実習先)(市区町村)_都城市,-0.006796138985211862
所在地(実習先)(都道府県)_岡山県,-0.025296195655736042
学校所属_CB日本語学校,-0.036729958873318314
組合_アジアアグリ協同組合,-0.038104242292623436
所在地(実習先)(市区町村)_熊毛郡屋久島町,-0.03841515220363628
所在地(実習先)(市区町村)_沼田市,-0.04567759902005354
所在地(実習先)(都道府県)_佐賀県,-0.04816035962628993
所在地(実習先)(市区町村)_伊万里市,-0.04816035962628993
所在地(実習先)(都道府県)_大阪府,-0.05221976376723525
所在地(実習先)(市区町村)_鹿沼市,-0.06135278603281778
"組合_㈱ビザアシスト
(アシスト国際)",-0.06135278603281778
学校所属_国境省,-0.08729377616685116
所在地(実習先)(都道府県)_愛知県,-0.09939291114811877
職種_製本,-0.11232699041202443
所在地(実習先)(市区町村)_いわき市,-0.11232850296126358
所在地(実習先)(都道府県)_福島県,-0.11232850296126358
所在地(実習先)(市区町村)_川口市,-0.1123361558138522
所在地(実習先)(市区町村)_香芝市,-0.11689119904263338
所在地(実習先)(都道府県)_鹿児島県,-0.12357401477817126
所在地(実習先)(市区町村)_薩摩川内市,-0.1286824838803458
"派遣会社_SUT ZAI CO.,LTD",-0.14046167674804266
所在地(実習先)(都道府県)_北海道,-0.15323396683292678
所在地(実習先)(市区町村)_鎌ケ谷市,-0.15598977113139104
職種_建築大工,-0.15802220623916208
所在地(実習先)(市区町村)_福津市,-0.15944296275276518
職種_医療・福祉施設給食製造,-0.15944296275276518
職種_冷凍空気調和機器施工,-0.1603538223071782
所在地(実習先)(市区町村)_曽於市,-0.1635253909637677
所在地(実習先)(市区町村)_伊佐市,-0.16353276693917887
所在地(実習先)(市区町村)_枚方市,-0.16930921380960073
所在地(実習先)(市区町村)_大刀洗町,-0.1760244423236368
所在地(実習先)(市区町村)_広島市,-0.1760984288313565
組合_デジタル共販事業協同組合,-0.1760984288313565
所在地(実習先)(都道府県)_広島県,-0.1760984288313565
職種関係_機械・金属関係,-0.18718389453805662
所在地(実習先)(市区町村)_市原市,-0.18729219898122165
"派遣会社_MOE YAN GENERAL SERVICES CO.,LTD",-0.1892832745578643
組合_エフ・アドバンス経済協同組合,-0.19629291028795204
所在地(実習先)(市区町村)_小林市,-0.198577016984674
所在地(実習先)(市区町村)_豊田市,-0.2011148181583597
所在地(実習先)(都道府県)_宮崎県,-0.20537315596988587
組合_アシスト国際事業協同組合,-0.2094295656009908
所在地(実習先)(市区町村)_盛岡市,-0.21655249057248627
所在地(実習先)(都道府県)_愛媛県,-0.22382397450737285
所在地(実習先)(市区町村)_松山市,-0.22382397450737285
所在地(実習先)(都道府県)_青森県,-0.22806138147447008
所在地(実習先)(市区町村)_東近江市,-0.23138454933030334
学校所属_ネピドー学校,-0.24023153640807005
所在地(実習先)(市区町村)_太宰府市,-0.2537160172302791
所在地(実習先)(市区町村)_姶良郡湧水町,-0.25390879927614185
所在地(実習先)(市区町村)_霧島市,-0.2540025105233409
職種_表装,-0.25489124455237994
所在地(実習先)(市区町村)_富士吉田市,-0.25489124455237994
所在地(実習先)(市区町村)_虻田郡留寿都村,-0.2770080135402344
学校所属_日本側内定,-0.28247225252157393
所在地(実習先)(市区町村)_指宿市,-0.2853203415396016
組合_九州産業振興協同組合,-0.30586476844970933
所在地(実習先)(市区町村)_藤沢市,-0.3064466911574002
所在地(実習先)(市区町村)_船橋市,-0.3091117780467286
所在地(実習先)(市区町村)_曽於郡大崎町,-0.31663370982146477
学校所属_マンダレー校,-0.3175097924501564
性別_女,-0.3313853344031621
所在地(実習先)(市区町村)_板倉町,-0.33746298633076116
職種_クリーニング,-0.33746298633076116
学校所属_MW日本語学校,-0.3391580795033737
組合_西日本食品産業事業協同組合,-0.34608338201367583
職種_防水施工,-0.3502653789253958
所在地(実習先)(市区町村)_豊後高田市,-0.35188171987915123
組合_オアシス福祉人材協同組合,-0.352419203669758
所在地(実習先)(市区町村)_大泉町,-0.35288683625530554
学校所属_nan,-0.3565730032609208
"所属機関_SHWE KAN MYINT PROCESSING PLANT&COLD STORE CO.,LTD",-0.3565730032609208
"派遣会社_G.G.G CO.,LTD",-0.3565730032609208
所在地(実習先)(市区町村)_長崎市,-0.3635599947109721
所在地(実習先)(都道府県)_長崎県,-0.3635599947109721
職種_ゴム製品製造,-0.3973174531298221
所在地(実習先)(市区町村)_綾瀬市,-0.3974060872022428
所在地(実習先)(市区町村)_生駒市,-0.3992558645226073
所在地(実習先)(市区町村)_千葉市,-0.4041609509124692
所在地(実習先)(市区町村)_大船渡市,-0.4178276253799743
組合_協同組合大船渡水産加工,-0.4178276253799743
職種_介護,-0.42129401651373577
組合_鹿児島県介護事業協同組合,-0.4386692346545759
所在地(実習先)(市区町村)_横浜市,-0.44144671024975873
所在地(実習先)(市区町村)_六ヶ所村,-0.44645600601505725
所在地(実習先)(都道府県)_東京都,-0.4520651474666497
"所属機関_HIGH WIN INTERNATIONAL CO.,LTD",-0.45378158478139774
職種_かわらぶき,-0.45449123698712546
所在地(実習先)(市区町村)_宮若市,-0.45449123698712546
職種_物流倉庫管理,-0.45451997746631856
組合_西日本海外業務支援協同組合,-0.45451997746631856
職種関係_移行対象外,-0.45451997746631856
所在地(実習先)(都道府県)_山口県,-0.4741886254559701
所在地(実習先)(市区町村)_下松市,-0.4741886254559701
"派遣会社_MYANMAR UNITED SK CO.,LTD",-0.48654641179164493
学校所属_ラーショー学校,-0.4925905373839195
組合_健康生活事業協同組合,-0.500047476379452
学校所属_バゴー学校,-0.5031586219583185
職種_仕上げ,-0.5075615093157599
所在地(実習先)(市区町村)_鹿屋市,-0.5094029385559828
所在地(実習先)(市区町村)_肝属郡錦江町,-0.5094558660522216
所在地(実習先)(都道府県)_奈良県,-0.5161470635652406
所在地(実習先)(市区町村)_大磯町,-0.5227239287392375
組合_鹿児島介護福祉協同組合,-0.5232337600758653
所在地(実習先)(市区町村)_古賀市,-0.5232337600758653
職種_機械保全,-0.5232337600758653
所在地(実習先)(市区町村)_足柄上郡大井町,-0.5232337600758653
職種関係_高度人材,-0.5232337600758653
所在地(実習先)(市区町村)_茨木市,-0.5232337600758653
所在地(実習先)(市区町村)_姫路市,-0.5232337600758653
所在地(実習先)(都道府県)_新潟県,-0.5232337600758653
所在地(実習先)(市区町村)_印西市,-0.5232337600758653
所在地(実習先)(市区町村)_雫石町,-0.5232337600758653
職種_高度人材,-0.5232337600758653
所在地(実習先)(市区町村)_八千代市,-0.5232337600758653
学校所属_MAY日本語学校,-0.5232337600758653
所在地(実習先)(市区町村)_上川郡美瑛町,-0.5232337600758653
所在地(実習先)(市区町村)_長岡市,-0.5232337600758653
所在地(実習先)(市区町村)_北葛飾郡松伏町,-0.5232337600758653
所在地(実習先)(市区町村)_飯塚市,-0.5232337600758653
職種_パン製造,-0.5252913642907464
所在地(実習先)(市区町村)_市川市,-0.5274246651684411
所在地(実習先)(市区町村)_相模原市,-0.5358784851751981
所在地(実習先)(市区町村)_さいたま市,-0.5471945628650677
所在地(実習先)(市区町村)_下妻市,-0.5827527419184636
所在地(実習先)(都道府県)_京都府,-0.5892086020301559
所在地(実習先)(市区町村)_石巻市,-0.5901398942903917
所在地(実習先)(市区町村)_町田市,-0.6001552348523033
所在地(実習先)(市区町村)_八女市,-0.6058999348031208
所在地(実習先)(市区町村)_大島郡瀬戸内町,-0.6292088189136325
所在地(実習先)(市区町村)_南九州市,-0.6347694362024292
学校所属_ミッチーナー学校,-0.6355607504878897
職種_溶接,-0.6355699158897175
所在地(実習先)(市区町村)_立川市,-0.6647469300691454
所在地(実習先)(都道府県)_長野県,-0.6697017722367236
所在地(実習先)(市区町村)_長野市,-0.6697017722367236
所在地(実習先)(市区町村)_行橋市,-0.6765731038877105
所在地(実習先)(市区町村)_空知郡南富良野町,-0.6780393228219082
所在地(実習先)(市区町村)_宮城郡利府町,-0.6840071152095084
職種_プラスチック成形,-0.6901461231535688
職種_工場板金,-0.6983656782478022
所在地(実習先)(市区町村)_夕張郡栗山町,-0.7056948258566762
組合_アジアイノベーション協同組合,-0.7058772101852518
所在地(実習先)(市区町村)_宝塚市,-0.7198710869255618
学校所属_パティン学校,-0.7300695848635153
所在地(実習先)(市区町村)_狭山市,-0.7323990690344054
所在地(実習先)(市区町村)_函館市,-0.7448303651696695
所在地(実習先)(市区町村)_一関市,-0.7718816509246473
職種_水産練り製品製造,-0.7874205035496757
職種_林業,-0.8262463385338356
所在地(実習先)(市区町村)_京都市,-0.844410720091495
所在地(実習先)(都道府県)_神奈川県,-0.8447465722085767
所在地(実習先)(市区町村)_名古屋市,-0.8495530458975277
"派遣会社_MAY KINN SAN CO.,LTD",-0.8693171420895411
職種_そう菜製造業,-0.9024724444716732
所在地(実習先)(市区町村)_弘前市,-0.9203558348072209
所属機関_AUNG THAIN KHA NGAR PON,-0.9388292393261195
所在地(実習先)(都道府県)_千葉県,-0.9608721115150742
所在地(実習先)(市区町村)_白石市,-1.0079598966500702
所在地(実習先)(市区町村)_新宿区,-1.0464675201517306
所在地(実習先)(市区町村)_明石市,-1.0464675201517306
所在地(実習先)(市区町村)_むつ市,-1.0464675201517306
所在地(実習先)(市区町村)_岩見沢市,-1.0464675201517306
所在地(実習先)(市区町村)_桶川市,-1.0464675201517306
所在地(実習先)(市区町村)_岡山市,-1.0464675201517306
所在地(実習先)(市区町村)_朝霞市,-1.0464675201517306
所在地(実習先)(市区町村)_気仙沼市,-1.093408450076164
学校所属_土屋,-1.283109319832135
職種_配管,-1.316906439370864
所在地(実習先)(市区町村)_久留米市,-1.7710367967558698
所在地(実習先)(市区町村)_那珂川市,-1.9523635882112353
職種_左官,-2.194062390783016
